"","t501","t502","MGT","Pmax","t50f1","t50f2","MGTf","Pmaxf"
"1",5.16666666666667,5.08333333333333,5.43478260869565,0.92,4.68516557022168,4.85208061035359,4.71234677498586,0.923756935422914
"2",4.6,4.5,5.14285714285714,0.84,4.39044397039145,4.75768936066681,4.41612979783327,0.842586285309053
"3",5.16666666666667,5,6.31818181818182,0.88,5.25279639632551,5.5846626763873,5.30065237065512,0.896742307110646
"4",5.625,5.5,6.125,0.96,5.29237139562216,5.33687913856053,5.34930939218111,0.98565212472853
"5",5.9,5.8,6.63636363636364,0.88,5.88181996316994,6.21427537788051,5.94056016584571,0.910040954890107
"6",4.07142857142857,4,4.33333333333333,0.96,NA,NA,NA,NA
"7",4.5625,4.5,5.04545454545455,0.88,4.38206881130748,4.70664402633503,4.43511923549542,0.895564659615846
"8",4.75,4.66666666666667,5.63636363636364,0.88,4.69874826110125,4.99233441209376,4.73237143064725,0.886281609926725
"9",3.71428571428571,3.64285714285714,4.28571428571429,0.84,3.56383061840223,3.91017498718171,3.59156876918305,0.842373524025317
"10",4.5,4.4375,5.34782608695652,0.92,4.46495084908592,4.6100448077344,4.48516880050483,0.92140952436748
"11",4.5625,4.5,5,0.88,4.35795498040431,4.63362732213162,4.38871571001991,0.884397174517574
"12",5.25,5.16666666666667,6.5,0.88,5.3708434239468,5.70745679857351,5.42826590713531,0.904484061497645
"13",3.9375,3.875,4.7,0.8,4.01084735623911,4.42938516843204,4.030702209203,0.800938392627658
"14",4.75,4.66666666666667,5.18181818181818,0.88,4.52321258953624,4.81201393358754,4.55664632199016,0.88579606718372
"15",4.5,4.33333333333333,5.09090909090909,0.88,4.1046123722357,4.43021975260652,4.16657400259682,0.899502032060221
"16",3.83333333333333,3.75,4.34782608695652,0.92,3.63402306967636,3.80313309194631,3.67264494905995,0.926457147108224
"17",4.5,4.33333333333333,5.27272727272727,0.88,4.49647002912234,4.78869581290373,4.53124264584571,0.886325488482414
"18",4.16666666666667,4.08333333333333,5,1,4.20350534883926,4.20350534883926,4.22683519448923,1
"19",4.25,4.125,4.94736842105263,0.76,4.16156524419477,4.70803701886984,4.18094799140258,0.760880277509262
"20",3.91666666666667,3.83333333333333,4.94444444444444,0.72,4.02000603945277,5.20001900925482,4.0810671657088,0.735185755189305
"21",4.85714285714286,4.78571428571429,5.52380952380952,0.84,4.87342172537823,5.3049308620536,4.90725580863055,0.846511373223999
"22",3.7,3.65,4.80952380952381,0.84,3.81958256695481,4.13886927286043,3.84144460302873,0.841250622750893
"23",4.625,4.5,5.54166666666667,0.96,4.56547900430688,4.6407257812323,4.6034448512839,0.96872621853225
"24",3.66666666666667,3.58333333333333,4.42857142857143,0.84,3.60955999707795,4.00813644613776,3.64725101014693,0.845511689589934
"25",3.85714285714286,3.78571428571429,5.21052631578947,0.76,4.15404895462132,4.97633474677763,4.20010906620543,0.769352812678807
"26",4.25,4.125,5.39130434782609,0.92,4.20357877334231,4.38660638708958,4.26286219827693,0.939238307681502
"27",5.07142857142857,5,5.41666666666667,0.96,4.68419215954263,4.75927614569179,4.71186947738313,0.964115120470317
"28",4.5,4.41666666666667,4.82608695652174,0.92,4.06615169877529,4.2255089995309,4.09416728699151,0.923190751515272
"29",4.375,4.25,5.36363636363636,0.88,4.36405423907709,4.65089112643958,4.39814920600073,0.885741226785259
"30",4.5,4.375,5.10526315789474,0.76,4.13683337029792,4.91711579436953,4.17766150168764,0.767092033191308
"31",4.75,4.66666666666667,5.55,0.8,4.79464242535299,5.42947850804751,4.83674312834139,0.809954072321281
"32",4.5,4.4,5.40909090909091,0.88,4.37653492716264,4.69483493999811,4.46461265730581,0.918037106861705
"33",4.66666666666667,4.5,5.41176470588235,0.68,4.54414672881668,5.78125001652959,4.57868606980224,0.684893425654264
"34",4.33333333333333,4.16666666666667,5.42105263157895,0.76,4.33913830655932,5.12796557158597,4.3792162491949,0.767254067036129
"35",5,4.75,5.66666666666667,0.84,4.71163072026518,5.18787456591905,4.75815378415742,0.852580583060971
"36",4.92857142857143,4.85714285714286,5.55,0.8,4.87998067112474,5.27270417619435,4.8945656253519,0.800494554710875
"37",4.6,4.5,5.43478260869565,0.92,4.49518348106062,4.65896097390995,4.52216784901458,0.923403314545016
"38",4.375,4.25,5.31818181818182,0.88,4.32531153042557,4.65458123780771,4.39851652961589,0.907812510791701
"39",4.7,4.6,5.90909090909091,0.88,4.8072831823867,5.14205465325736,4.86748726549393,0.902439610267929
"40",5.07142857142857,5,5.45454545454545,0.88,4.61724066932526,4.92384982930591,4.65634541983265,0.88872774616587
"41",4.8125,4.75,5.70833333333333,0.96,4.93684545019687,4.9923894087414,4.99135102269587,0.981163701545192
"42",4.375,4.25,5.2,0.8,4.29154075699565,4.82141829296522,4.32192280598124,0.803773151923065
"43",3.875,3.8125,5.14285714285714,0.84,4.19355034783813,4.69308712536888,4.25887302503412,0.861005796297164
"44",5,4.75,5.47058823529412,0.68,4.66686239385436,6.4775835445851,4.7560381111548,0.712054999466846
"45",4.2,4.1,4.82608695652174,0.92,3.99353944177661,4.17320149705407,4.03716020857988,0.929560817306998
"46",4.625,4.5,5.1,0.8,4.34808750512638,4.83142741280585,4.37276258383863,0.802152229233532
"47",4.8,4.7,5.47619047619048,0.84,4.69173500891977,5.12612098958223,4.72746775755858,0.846930668832807
"48",5.4375,5.375,6.29166666666667,0.96,5.36817709633052,5.42796643731993,5.41656077198144,0.979412800212623
"49",4.9,4.8,5.65,0.8,4.8013052277089,5.47007561376798,4.85006463139086,0.813584659815515
"50",5.33333333333333,5.16666666666667,5.52380952380952,0.84,4.80723368032329,5.25286340233585,4.84457592257102,0.848022429728059
"51",6.125,6,7,0.88,6.07440250939556,6.34394999785582,6.16327054929075,0.939215389567235
"52",4.41666666666667,4.33333333333333,5.125,0.96,4.23004960851623,4.30141083351109,4.25561540310333,0.962726404250104
"53",4.875,4.75,5.36363636363636,0.88,4.62805444440996,4.89322333508916,4.65435520449707,0.883202681929827
