"","t501","t502","t503","MGT","CUG","Pmax","code","t50f1","t50f2","MGTf","CUGf","Pmaxf","t50n1","t50n2","MGTn","Pmaxn"
"1",16.2,15.8,35,21,0.00808189655172414,0.6,1,16.3531738423754,29.8835532047208,16.4609933499289,0.276735703904312,0.60618079079678,16.1763983720349,25.5449845064795,16.2525631401792,0.624710131478636
"2",34,33,NA,31,0.00405405405405405,0.48,1,28.2078918776214,138.650950988497,28.5177971067726,0.0549143199111128,0.520893275006821,60.7881762165653,60.7881762165653,61.97828687271,1
"3",19,18.3333333333333,46,24.7142857142857,0.00543719485130937,0.56,1,19.7635420755887,44.6973776311197,19.9190383622996,0.158025387169329,0.573242475988258,19.4192154049016,39.5883533530862,19.5502809277869,0.581876036301522
"4",18.3333333333333,17,87,30.2307692307692,0.00189495873699318,0.52,1,22.306184087659,74.0354351894137,22.5900923522439,0.0753135098599158,0.554095185207499,68.3531556001678,68.3531556001678,72.6197120753342,1
"5",29.6666666666667,29,79,36.1428571428571,0.00161332806532332,0.56,1,29.8125965092358,62.7526593983595,30.1388827472735,0.0493576129008013,0.613036252339223,25.213047104282,62.08084923686,25.445436272158,0.570397345490777
"6",27,25,NA,30,0.00258397932816537,0.48,1,27.7759878454862,121.275680544027,28.4137755592224,0.025917059807261,0.564927436729302,75.6907242162875,75.6907242162875,79.1744639166017,1
"7",36,35,63,41.5714285714286,0.00299951028403526,0.56,1,38.565401700154,67.8911485246979,38.7770711272212,0.0600187506740803,0.601712525523212,52.7418645887773,64.3151312400108,53.3715839178163,0.842071047908406
"8",13,12.3333333333333,39,27.3529411764706,0.00191056695578591,0.68,2,23.2541891393443,34.5823007599825,24.1477280931239,0.0208539898981776,0.826185774059259,34.6106813325631,34.6106813325631,36.8600036154231,1
"9",17,15.6666666666667,63,21,0.00456460674157303,0.52,1,15.2695941439594,54.3240507980707,15.3976249853562,0.247934456908838,0.527673565062646,15.1806458653452,42.4083794234104,15.325993808088,0.555775570378583
"10",21,19,NA,20.4285714285714,0.0125512295081967,0.28,1,17.3431556989467,NA,17.4539191170473,0.254198390134716,0.283126024029129,62.1752693891845,62.1752693891845,63.3645191814256,1
"11",22,21,NA,27,0.00216138328530259,0.48,1,29.2064573520225,117.310964774861,30.4074260885223,0.0122291459233377,0.617521122407205,22.938006488074,86.2714627710165,23.3467514143733,0.562527859332654
"12",21,19,91,32.3846153846154,0.00156946508172363,0.52,1,23.0930629380211,71.6313167623697,23.309921463876,0.096427274363674,0.543574170142652,19.2919381305519,85.5168382803594,19.5093512896157,0.526648251600868
"13",23,21,NA,30.6666666666667,0.00174859141247329,0.48,1,24.0980088074423,138.271732703101,24.4798320756187,0.0512389860270235,0.527353136787114,21.1551617242898,NA,21.3702914570295,0.497490286284245
"14",11,9,NA,17.6666666666667,0.00383304940374787,0.48,1,10.4023332572583,NA,10.5232382445949,0.380788457587417,0.486332973934536,10.2124394685596,NA,10.3242637358063,0.487982111082484
"15",21,19.6666666666667,NA,26.0909090909091,0.00572049924357035,0.44,1,21.941399855112,NA,22.1174128464899,0.125676571831699,0.453764625462172,43.7461030113319,63.6006905834357,44.8035058998042,0.8016407402897
"16",23,21,NA,28,0.00398406374501992,0.32,1,22.532484018942,NA,22.6969113297247,0.131355290366736,0.329037550632917,23.0126837981141,NA,23.2227002441251,0.357362541764127
"17",17.8,17,71,25.9230769230769,0.00362225651577503,0.52,1,19.4572705445269,56.2216632034237,19.5659751211871,0.231555468940313,0.525871368215077,16.4992642569395,70.8203418183064,16.5602869013582,0.50338912615384
"18",19,16,NA,23.8571428571429,0.00524400684931507,0.28,1,19.1167733132753,NA,19.3559178384996,0.104412647280223,0.293439297886321,22.8784038396212,NA,23.4278262557137,0.372829506248217
"19",19.6666666666667,19,NA,30.0909090909091,0.00175301344459898,0.44,1,22.6641760557351,NA,22.9203461110232,0.0825860319803872,0.465234428464204,19.8924857292624,NA,20.0141110449209,0.43677428657952
"20",29,23,NA,35.2857142857143,0.00190453980099502,0.28,1,29.7818289403086,NA,30.1544545643693,0.0430130808007606,0.310791984014529,275.033105068331,275.033105068331,298.153624692299,1
"21",23,21,NA,22.6,0.0114889705882353,0.4,1,19.3745696265281,NA,19.4685092916568,0.269831042283737,0.403212147499761,48.2992783764972,48.2992783764972,49.1518981248905,1
"22",17,16,NA,22.0909090909091,0.00714792060491493,0.44,1,17.4418087877776,NA,17.5957895051342,0.180179924753137,0.449707152375785,33.9543324038186,54.1974908561151,34.6869346797747,0.756416429012001
"23",23,22,NA,26.8181818181818,0.0030322774659182,0.44,1,22.3324561958905,NA,22.7278844172563,0.0530189648741471,0.483585699323741,24.6013657649577,141.143667110271,24.9498152563157,0.523178890812961
"24",21,19,NA,25,0.00455729166666667,0.28,1,19.2093238344457,NA,19.3299974190967,0.210737249070148,0.283942092384538,19.0986335641991,NA,19.207974230221,0.298530601898921
"25",27.6666666666667,27,47,29,0.0039390756302521,0.6,1,25.423250801018,48.5259659088314,25.7387327550291,0.0595366859455997,0.648584191702119,42.9244740482805,42.9244740482805,43.7825836785914,1
"26",26.3333333333333,25.6666666666667,NA,23.6666666666667,0.00461065573770492,0.36,3,206.708199556274,206.708199556274,229.146613216825,7.38374505962202e-07,1,25.3197572905842,NA,25.331240505274,0.346473904941063
"27",13,11,NA,21.3636363636364,0.0025952299245024,0.44,2,17.1653075776162,333.812095799932,18.2020050165614,0.0224121882089545,0.538395552906344,28.2994290842171,122.854377869757,30.7234734975175,0.670625755716167
"28",17,15,NA,19.1818181818182,0.00896030805687204,0.44,1,14.5739184048852,NA,14.6901169344148,0.286658755964387,0.445231329841802,19.3922529543214,65.1857639559074,19.6722036286049,0.560530374813779
"29",25,23,NA,27.5454545454545,0.00317485306465155,0.44,1,22.5333704375796,NA,22.7993931336688,0.0798397125149333,0.466525343703756,24.6558431763828,174.509984287901,24.961286838611,0.512654475354699
"30",15,13,67,28.1428571428571,0.00181400858877536,0.56,2,23.1999267642599,59.8510449861466,23.9626055049612,0.0250042989563714,0.666317740941518,28.4699496223589,61.7584744251925,30.3875504149266,0.764792639252031
"31",19,17,NA,26,0.002997002997003,0.48,1,18.4183685184946,NA,18.5127045300255,0.282360905759678,0.483787904924417,17.2633616417458,NA,17.3730243271889,0.483682911163888
"32",21,19,NA,24.2727272727273,0.00378503503503504,0.44,1,18.3606945490351,NA,18.6008975728907,0.10800311566129,0.460967722666888,23.7546724249352,106.347978020034,24.213137262437,0.552093450483551
"33",17,16.3333333333333,34,21.8,0.00607189119170984,0.6,1,17.2042487172018,36.9119016436984,17.4373292925734,0.118579864460976,0.626802643489351,34.1296023694007,34.1296023694007,35.1618898384103,1
"34",14,13,NA,16.6,0.0109841827768014,0.4,1,12.2858043126252,NA,12.3573458549146,0.55672734856131,0.401407182904731,12.9658056171978,NA,13.0415069329436,0.426205757956354
"35",16,15,NA,19,0.00824175824175824,0.24,1,14.5049486593553,NA,14.6150254564158,0.304473141042917,0.242521355661151,14.9461949855954,NA,14.9803329254956,0.244486628790185
"36",22,21,35,27.25,0.00403327451474666,0.64,1,23.1128542436899,39.2445774128391,23.3855524211071,0.0759345743949115,0.680480142918238,24.856551561455,35.932453508271,25.1446571040341,0.744456305099522
"37",19,18,87,32.6923076923077,0.00168945937300064,0.52,1,23.7525796618108,74.4887856852282,24.0182751991517,0.0760095885093552,0.552237208183265,77.2298147292841,77.2298147292841,83.7075551122833,1
"38",15.4,15,NA,24.2727272727273,0.00234133126934985,0.44,1,16.0059563929028,NA,16.1086558341133,0.297029551351809,0.444027262592919,14.5075942732922,NA,14.5342720465413,0.428203505159854
"39",14,13.5,27,24.7647058823529,0.00188740856844305,0.68,1,15.2657099257992,25.7531988027012,15.5188585547243,0.121663072669831,0.713619779363635,12.6268908454794,22.3041564085524,12.7506112152248,0.650474788546642
"40",19,17,NA,24.6666666666667,0.00313916986396931,0.48,1,18.82309959127,166.92346184461,19.1524623298507,0.0755800289228174,0.51577609997,20.9020552180236,74.6899509637144,21.2731204067256,0.567508528960274
"41",14,13,NA,17.3333333333333,0.00824931255728689,0.48,1,12.3384586518548,NA,12.4569992875419,0.329898521966331,0.485924583323695,14.4730671155079,51.9804734742278,14.667695725338,0.549810405802629
"42",19,17,NA,25.5,0.00345125107851596,0.32,1,19.8756522879322,NA,20.2269869937708,0.0670565373908103,0.346326878121009,23.2860920254605,NA,23.8334024162407,0.396064198543543
"43",15,14,NA,23.6666666666667,0.00316011235955056,0.36,1,16.2899316255286,NA,16.5691039122532,0.103172292676231,0.380729466593074,13.1033727564981,NA,13.2563067972715,0.350947430751074
